Date,MKT_RF,SMB,HML,RMW,CMA,QMJ,BAB,UMD,RF
1990-01-01,0.004971285354755658,0.010449642083879567,-0.008013678668102667,0.0030079130175271083,0.00467580839868486,0.00700087355948361,-0.004980334882364484,0.005055244158880258,0.00021860331873308248
1990-01-02,-0.0010286970654261192,0.004333529713931802,-0.002991271238554466,0.005156383479465612,0.002324479844656562,-0.005742753021764444,-0.003652550491088441,0.005864148635724922,0.00021747971251289091
1990-01-03,0.0063978592022114035,-0.005211906796587368,0.004738575485407279,0.007881853725590747,-0.006028805992294322,-0.010269046643964112,-0.004322093826932282,-0.012183359387536119,0.00020233279114737293
1990-01-04,0.014669057204142235,-0.0063667011686456285,-0.00844474149156555,0.003176517395707133,-0.007283418417251014,-0.00034885422756877947,-0.00402063937109371,0.011665333779007102,0.00020035961640539003
1990-01-05,-0.0019347636442381667,0.004765934174782949,-0.011771779278182999,-0.0022247540660735735,-0.005855434290300842,0.0037710780442223933,0.0009304949663503995,0.015547076244646607,0.00019824214254814004
1990-01-08,-0.0019346085108542508,-0.0016117768354346283,0.0005958700260928153,0.0007781193504740328,0.007359509401775096,0.00039427385940703,0.00046681288060121515,0.006534550633655084,0.00021550204385186166
1990-01-09,0.015199936267344507,-0.013246565489021487,-0.01270497062750371,0.009537716122007557,-0.004390467702986709,0.003970672889800179,0.014390242594624025,0.0009981171212651476,0.00021006715534855594
1990-01-10,0.007529354352109233,0.012483615224191627,-0.009698984397946843,0.01579993675611673,0.008360302277660207,0.0074266940269309585,-0.0012783682292002944,0.02049423878798423,0.00021068296892562928
1990-01-11,-0.004158338194003091,-0.0029080648837392113,0.005838361564710907,0.0027524937344386145,-0.004619130980098014,0.0037495104568857815,-0.00045824764312252903,0.005651418989853302,0.0002157925758289355
1990-01-12,0.00540448830152359,0.010462544375036058,-0.0014289834203725959,0.0031632906946400165,-0.005088956761053315,-0.0008196478209316211,0.007691157909479966,0.0022060800282569758,0.00022003673904157051
1990-01-15,-0.004101107823397578,0.008957927927214573,0.009836415569187532,0.004241363834342608,0.003967527304714364,-0.0032780853810979796,0.0013860875468190157,0.017351617420546642,0.00021687296870811658
1990-01-16,-0.004122954744044707,-0.00683713780835063,-0.008988492729880072,0.00026187688345670685,0.004168475776036523,0.005006406320820867,-0.00044859700108610973,0.01637163652744816,0.00021295296496047996
1990-01-17,0.002564106339292068,0.0072585391635853706,-0.000591165508235913,0.006725415529864063,0.0025382602237413398,0.001885110930562761,-0.0006460949520123481,-0.014287263176328193,0.0002393094534461171
